Status,FirstLine,Lon,Lines,Time,Lat,LowFloor,Brigade
RUNNING,24 ,20.9248962,24             ,2017-05-28T11:55:39,52.2601357,True,10  
RUNNING,24 ,20.9555912,24             ,2017-05-28T11:55:56,52.2473564,True,9   
RUNNING,15 ,20.9506512,15             ,2017-05-28T11:55:41,52.1824532,True,4   
RUNNING,6  ,20.9346447,6              ,2017-05-28T11:55:37,52.2988663,False,6   
RUNNING,6  ,21.0111904,6              ,2017-05-28T11:55:46,52.2613258,False,3   
RUNNING,28 ,20.9009762,28             ,2017-05-28T11:55:45,52.2387161,False,4   
RUNNING,23 ,20.9230423,23             ,2017-05-28T11:55:46,52.2477951,False,8   
RUNNING,28 ,21.0379219,28             ,2017-05-28T11:55:54,52.251976,False,7   
RUNNING,27 ,20.9310474,27             ,2017-05-28T11:55:38,52.2248268,False,5   
RUNNING,10 ,20.9698734,10             ,2017-05-28T11:55:42,52.2287636,False,3   
RUNNING,27 ,20.9736195,27             ,2017-05-28T11:55:42,52.2351189,False,1   
RUNNING,28 ,20.9380302,28             ,2017-05-28T11:55:56,52.2750587,False,2   
RUNNING,3  ,21.0897522,3              ,2017-05-28T11:55:51,52.244957,True,4   
RUNNING,9  ,21.0215359,9              ,2017-05-28T11:55:43,52.2319107,True,33  
RUNNING,22 ,21.016861,22             ,2017-05-28T11:55:43,52.2309227,True,3   
RUNNING,20 ,20.9806442,20             ,2017-05-28T11:55:45,52.2372437,True,2   
RUNNING,1  ,20.9837074,1              ,2017-05-28T11:55:54,52.2191849,True,16  
RUNNING,33 ,20.982008,33             ,2017-05-28T11:55:54,52.2559128,True,13  
RUNNING,33 ,21.0048618,33             ,2017-05-28T11:55:49,52.220623,True,3   
RUNNING,23 ,20.9248314,23             ,2017-05-28T11:55:54,52.26017,True,1   
RUNNING,24 ,21.1188412,24             ,2017-05-28T11:55:56,52.2382317,True,5   
RUNNING,3  ,21.1189041,3              ,2017-05-28T11:55:54,52.2381439,True,3   
RUNNING,7  ,20.9952755,7              ,2017-05-28T11:55:54,52.2263374,True,6   
RUNNING,7  ,21.0441246,7              ,2017-05-28T11:55:56,52.2502441,True,4   
RUNNING,6  ,20.9959087,6              ,2017-05-28T11:55:54,52.2585182,True,8   
RUNNING,6  ,21.1081104,6              ,2017-05-28T11:55:49,52.2412872,True,1   
RUNNING,13 ,21.0156212,13             ,2017-05-28T11:55:42,52.2467918,True,5   
RUNNING,22 ,20.977438,22             ,2017-05-28T11:55:39,52.2437134,True,7   
RUNNING,33 ,20.9301662,33             ,2017-05-28T11:55:49,52.2919273,True,9   
RUNNING,15 ,20.9805317,15             ,2017-05-28T11:55:42,52.2751846,True,8   
RUNNING,15 ,21.0083694,15             ,2017-05-28T11:55:54,52.2355576,True,6   
RUNNING,28 ,21.0423145,28             ,2017-05-28T11:55:56,52.2496643,True,9   
RUNNING,24 ,20.9364223,24             ,2017-05-28T11:55:10,52.2467728,True,1   
RUNNING,4  ,21.0196705,4              ,2017-05-28T11:55:54,52.1730118,True,8   
RUNNING,9  ,20.9777527,9              ,2017-05-28T11:55:54,52.2124901,True,32  
RUNNING,9  ,20.9867458,9              ,2017-05-28T11:55:54,52.2225914,True,37  
RUNNING,6  ,21.0585918,6              ,2017-05-28T11:55:43,52.2469406,True,9   
RUNNING,24 ,20.9888687,24             ,2017-05-28T11:55:54,52.2251244,True,8   
RUNNING,9  ,20.9540386,9              ,2017-05-28T11:55:56,52.1855507,True,38  
RUNNING,15 ,21.000679,15             ,2017-05-28T11:55:41,52.245121,True,9   
RUNNING,25 ,20.9820652,25             ,2017-05-28T11:55:43,52.2098198,True,1   
RUNNING,17 ,21.0061035,"17,18          ",2017-05-28T11:55:56,52.2387619,True,8   
RUNNING,33 ,20.9625568,33             ,2017-05-28T11:55:43,52.2668724,True,12  
RUNNING,4  ,21.0286274,4              ,2017-05-28T11:55:43,52.2913284,True,5   
RUNNING,1  ,20.9796314,1              ,2017-05-28T11:55:42,52.2104301,True,15  
RUNNING,35 ,21.0064487,35             ,2017-05-28T11:55:37,52.2385941,True,2   
RUNNING,35 ,20.934103,35             ,2017-05-28T11:55:55,52.2714806,True,5   
RUNNING,17 ,21.0036354,17             ,2017-05-28T11:55:38,52.1885147,True,37  
RUNNING,17 ,20.9718704,17             ,2017-05-28T11:55:56,52.2728271,True,33  
RUNNING,17 ,20.9979343,"17,18          ",2017-05-28T11:55:55,52.2340965,True,5   
RUNNING,1  ,21.0372219,1              ,2017-05-28T11:55:34,52.2690239,True,9   
RUNNING,1  ,21.0217552,1              ,2017-05-28T11:55:56,52.2987099,True,7   
RUNNING,33 ,21.0025043,33             ,2017-05-28T11:55:54,52.2073479,True,2   
RUNNING,4  ,21.0129471,4              ,2017-05-28T11:55:49,52.3111,True,4   
RUNNING,28 ,20.9823227,28             ,2017-05-28T11:55:54,52.2551384,True,6   
RUNNING,15 ,20.9855709,15             ,2017-05-28T11:55:44,52.2698021,True,7   
RUNNING,1  ,20.9775581,1              ,2017-05-28T11:55:44,52.2403259,True,2   
RUNNING,35 ,21.0234013,35             ,2017-05-28T11:55:43,52.2028503,True,8   
RUNNING,35 ,21.0168362,35             ,2017-05-28T11:55:56,52.1680946,True,10  
RUNNING,31 ,21.0013046,31             ,2017-05-28T11:55:46,52.1786995,True,3   
RUNNING,9  ,20.9494534,9              ,2017-05-28T11:55:45,52.1813011,True,31  
RUNNING,35 ,20.9813461,35             ,2017-05-28T11:55:56,52.2577324,True,3   
RUNNING,35 ,21.022995,35             ,2017-05-28T11:55:46,52.2049332,True,1   
RUNNING,35 ,21.0161152,35             ,2017-05-28T11:55:54,52.1679344,True,9   
RUNNING,35 ,20.9832134,35             ,2017-05-28T11:55:46,52.2539253,True,6   
RUNNING,25 ,21.0278358,25             ,2017-05-28T11:55:45,52.2780762,True,6   
RUNNING,11 ,20.9204884,11             ,2017-05-28T11:55:56,52.2575798,True,6   
RUNNING,2  ,20.9318008,2              ,2017-05-28T11:55:54,52.3002853,True,6   
RUNNING,2  ,20.9417706,2              ,2017-05-28T11:55:43,52.3328743,True,5   
RUNNING,11 ,20.9298878,11             ,2017-05-28T11:55:45,52.2918243,True,8   
RUNNING,31 ,21.0210171,31             ,2017-05-28T11:55:43,52.1895142,True,1   
RUNNING,2  ,20.9600468,2              ,2017-05-28T11:55:45,52.3166733,True,3   
RUNNING,2  ,20.9418049,2              ,2017-05-28T11:55:37,52.3331375,True,1   
RUNNING,11 ,20.9856567,11             ,2017-05-28T11:55:56,52.2305374,True,4   
RUNNING,11 ,20.940403,11             ,2017-05-28T11:55:42,52.2262344,True,3   
RUNNING,2  ,20.9295349,2              ,2017-05-28T11:55:57,52.2919273,True,2   
RUNNING,11 ,20.9186726,11             ,2017-05-28T11:55:43,52.2209282,True,5   
RUNNING,9  ,21.0845966,9              ,2017-05-28T11:55:45,52.2446175,True,34  
RUNNING,26 ,20.9939308,26             ,2017-05-28T11:55:42,52.242054,True,8   
RUNNING,26 ,20.9761467,26             ,2017-05-28T11:55:45,52.235733,True,3   
RUNNING,26 ,21.0356865,26             ,2017-05-28T11:55:37,52.2538719,True,2   
RUNNING,26 ,21.0465527,26             ,2017-05-28T11:55:54,52.2482452,True,9   
RUNNING,20 ,20.9794044,20             ,2017-05-28T11:55:54,52.2366905,True,7   
RUNNING,11 ,20.9208241,11             ,2017-05-28T11:55:45,52.2821541,True,1   
RUNNING,10 ,20.9514084,10             ,2017-05-28T11:55:54,52.2296143,True,7   
RUNNING,10 ,21.0168343,10             ,2017-05-28T11:55:56,52.1682167,True,1   
RUNNING,10 ,21.0244064,10             ,2017-05-28T11:55:45,52.1942291,True,9   
RUNNING,11 ,20.9118633,11             ,2017-05-28T11:55:35,52.2508354,True,2   
RUNNING,20 ,20.9386501,20             ,2017-05-28T11:55:44,52.2467003,True,1   
RUNNING,6  ,20.9577961,6              ,2017-05-28T11:55:37,52.2819252,True,4   
RUNNING,13 ,20.9618778,13             ,2017-05-28T11:55:42,52.2326775,True,2   
RUNNING,6  ,21.0584393,6              ,2017-05-28T11:55:56,52.2469292,True,2   
RUNNING,13 ,20.9540443,13             ,2017-05-28T11:55:56,52.2302856,True,1   
RUNNING,14 ,21.0051842,14             ,2017-05-28T11:55:54,52.2201233,True,4   
RUNNING,14 ,20.988575,14             ,2017-05-28T11:55:54,52.2255859,True,6   
RUNNING,20 ,21.0257168,20             ,2017-05-28T11:55:56,52.2589417,True,3   
RUNNING,28 ,21.0499287,28             ,2017-05-28T11:55:46,52.2527924,True,8   
RUNNING,13 ,21.0166645,13             ,2017-05-28T11:55:54,52.2470436,True,3   
RUNNING,6  ,20.9857063,6              ,2017-05-28T11:55:56,52.2691231,True,7   
RUNNING,13 ,21.0597,13             ,2017-05-28T11:55:43,52.2581635,True,4   
RUNNING,14 ,21.0234375,14             ,2017-05-28T11:55:21,52.1831856,True,2   
RUNNING,14 ,21.0246811,14             ,2017-05-28T11:55:56,52.1902657,True,3   
RUNNING,14 ,21.0161343,14             ,2017-05-28T11:55:37,52.2199745,True,1   
RUNNING,20 ,21.0025845,20             ,2017-05-28T11:55:57,52.2901764,True,5   
RUNNING,27 ,20.9794941,27             ,2017-05-28T11:55:45,52.2376289,True,4   
RUNNING,13 ,20.9517517,13             ,2017-05-28T11:55:42,52.22966,True,6   
RUNNING,25 ,21.038868,25             ,2017-05-28T11:55:54,52.2354889,True,3   
RUNNING,26 ,20.9867115,26             ,2017-05-28T12:10:50,52.2396469,True,4   
RUNNING,1  ,20.9848518,1              ,2017-05-28T12:10:04,52.2299232,True,14  
RUNNING,18 ,20.9979954,"18,17          ",2017-05-28T12:10:46,52.2336349,True,16  
RUNNING,22 ,20.9535809,22             ,2017-05-28T12:10:46,52.2693558,True,2   
RUNNING,33 ,20.982214,33             ,2017-05-28T12:10:50,52.255455,True,7   
RUNNING,33 ,20.9609013,33             ,2017-05-28T12:10:52,52.2673569,True,14  
RUNNING,1  ,21.0308075,1              ,2017-05-28T12:10:52,52.2881126,True,10  
RUNNING,20 ,20.9796619,20             ,2017-05-28T12:10:46,52.2367706,True,8   
RUNNING,26 ,21.0443249,26             ,2017-05-28T12:10:46,52.2489319,True,1   
RUNNING,1  ,21.0219555,1              ,2017-05-28T12:10:48,52.2984695,True,8   
RUNNING,17 ,21.0241089,"17,18          ",2017-05-28T12:10:48,52.1982231,True,14  
RUNNING,9  ,21.0849819,9              ,2017-05-28T12:10:19,52.2445793,True,35  
RUNNING,9  ,21.0845528,9              ,2017-05-28T12:10:46,52.2446175,True,36  
RUNNING,23 ,20.9248371,23             ,2017-05-28T12:10:46,52.2601662,True,2   
RUNNING,18 ,21.014101,"18,17          ",2017-05-28T12:10:47,52.2742958,True,10  
RUNNING,33 ,21.0043468,33             ,2017-05-28T12:10:49,52.2237701,True,5   
RUNNING,1  ,20.9840565,1              ,2017-05-28T12:10:46,52.2307739,True,3   
RUNNING,1  ,20.9772129,1              ,2017-05-28T12:10:46,52.2450523,True,13  
RUNNING,33 ,20.9820442,33             ,2017-05-28T12:10:52,52.2559128,True,15  
RUNNING,33 ,20.993433,33             ,2017-05-28T12:10:39,52.2420578,True,6   
RUNNING,3  ,21.02808,3              ,2017-05-28T12:10:46,52.2920532,True,7   
