Status,FirstLine,Lon,Lines,Time,Lat,LowFloor,Brigade
RUNNING,20 ,20.9941711,20             ,2017-05-14T20:35:37,52.2420387,True,1   
RUNNING,13 ,20.9307957,13             ,2017-05-14T20:35:38,52.2243767,True,5   
RUNNING,13 ,21.0157185,13             ,2017-05-14T20:35:28,52.2468605,True,4   
RUNNING,28 ,20.9245148,28             ,2017-05-14T20:35:38,52.2607956,True,9   
RUNNING,24 ,21.0362835,24             ,2017-05-14T20:35:42,52.2349243,True,8   
RUNNING,9  ,0,9              ,2017-05-14T20:35:30,0,True,2   
RUNNING,15 ,21.0119495,15             ,2017-05-14T20:35:42,52.2295761,True,8   
RUNNING,15 ,20.9745903,15             ,2017-05-14T20:35:38,52.2086563,True,9   
RUNNING,15 ,20.9438038,15             ,2017-05-14T20:35:41,52.1759758,True,2   
RUNNING,6  ,20.9528675,6              ,2017-05-14T20:35:39,52.2873459,True,9   
RUNNING,10 ,21.0159588,10             ,2017-05-14T20:35:42,52.1680984,True,5   
RUNNING,15 ,20.996727,15             ,2017-05-14T20:35:39,52.257122,True,6   
RUNNING,9  ,20.9579945,9              ,2017-05-14T20:35:38,52.1898842,True,32  
RUNNING,4  ,21.0160046,4              ,2017-05-14T20:35:38,52.1680679,True,3   
RUNNING,18 ,20.942646,"18,17          ",2017-05-14T20:35:39,52.3242493,True,2   
RUNNING,18 ,20.9821033,"18,17          ",2017-05-14T20:35:40,52.2556,True,17  
RUNNING,17 ,21.0023365,"17,18          ",2017-05-14T20:35:37,52.290493,True,12  
RUNNING,1  ,21.0219536,1              ,2017-05-14T20:35:37,52.2984772,True,13  
RUNNING,17 ,21.0048485,"17,18          ",2017-05-14T20:35:38,52.2230453,True,6   
RUNNING,17 ,20.9989872,17             ,2017-05-14T20:35:37,52.2321892,True,31  
RUNNING,33 ,21.0027275,33             ,2017-05-14T20:35:40,52.2069778,True,12  
RUNNING,22 ,20.9677258,22             ,2017-05-14T20:35:37,52.3146744,True,3   
RUNNING,15 ,20.9805279,15             ,2017-05-14T20:35:37,52.2751961,True,7   
RUNNING,1  ,20.9776802,1              ,2017-05-14T20:35:41,52.2400818,True,16  
RUNNING,1  ,20.9902267,1              ,2017-05-14T20:35:38,52.2570572,True,9   
RUNNING,1  ,21.0370045,1              ,2017-05-14T20:35:40,52.2690582,True,10  
RUNNING,28 ,21.0352917,28             ,2017-05-14T20:35:39,52.2542801,True,6   
RUNNING,17 ,20.9979095,"17,18          ",2017-05-14T20:35:39,52.2535744,True,9   
RUNNING,10 ,20.9998283,10             ,2017-05-14T20:35:40,52.1877708,True,10  
RUNNING,35 ,20.9250107,35             ,2017-05-14T20:35:37,52.2603874,True,9   
RUNNING,31 ,20.9998741,31             ,2017-05-14T20:35:37,52.1788673,True,3   
RUNNING,35 ,21.0008411,35             ,2017-05-14T20:35:40,52.2448158,True,6   
RUNNING,2  ,20.9394722,2              ,2017-05-14T20:35:37,52.3019638,True,7   
RUNNING,11 ,20.9377766,11             ,2017-05-14T20:35:39,52.2748795,True,4   
RUNNING,11 ,20.914999,11             ,2017-05-14T20:35:41,52.2304573,True,5   
RUNNING,11 ,20.9826832,11             ,2017-05-14T20:35:38,52.2299843,True,6   
RUNNING,35 ,20.9446278,35             ,2017-05-14T20:35:37,52.2717781,True,8   
RUNNING,7  ,21.0537052,7              ,2017-05-14T20:35:39,52.25494,True,8   
RUNNING,33 ,20.9299068,33             ,2017-05-14T20:35:40,52.2916946,True,4   
RUNNING,35 ,20.9842186,35             ,2017-05-14T20:35:41,52.252739,True,10  
RUNNING,2  ,20.9416618,2              ,2017-05-14T20:35:42,52.3320961,True,5   
RUNNING,2  ,20.9294872,2              ,2017-05-14T20:35:41,52.2919159,True,2   
RUNNING,11 ,20.9197464,11             ,2017-05-14T20:35:41,52.2212181,True,8   
RUNNING,2  ,20.944706,2              ,2017-05-14T20:35:37,52.3038445,True,4   
RUNNING,2  ,20.9591293,2              ,2017-05-14T20:35:40,52.3106232,True,3   
RUNNING,31 ,21.0196075,31             ,2017-05-14T20:35:40,52.1893196,True,1   
RUNNING,26 ,21.0831146,26             ,2017-05-14T20:35:36,52.2453728,True,9   
RUNNING,20 ,20.8998375,20             ,2017-05-14T20:35:41,52.2634087,True,8   
RUNNING,23 ,20.9926834,23             ,2017-05-14T20:35:40,52.2414856,True,2   
RUNNING,10 ,20.9375019,10             ,2017-05-14T20:35:37,52.2257195,True,1   
RUNNING,26 ,21.0461178,26             ,2017-05-14T20:35:38,52.2482529,True,8   
RUNNING,11 ,20.938055,11             ,2017-05-14T20:35:38,52.2755127,True,1   
RUNNING,10 ,20.9006481,10             ,2017-05-14T20:35:14,52.2386208,True,9   
RUNNING,26 ,20.9523678,26             ,2017-05-14T20:35:41,52.2298546,True,3   
RUNNING,11 ,20.9298878,11             ,2017-05-14T20:35:37,52.2918396,True,2   
RUNNING,20 ,20.9658356,20             ,2017-05-14T20:35:14,52.2444572,True,9   
RUNNING,6  ,21.0523777,6              ,2017-05-14T20:35:39,52.2472725,True,4   
RUNNING,6  ,21.090023,6              ,2017-05-14T20:35:38,52.2448654,True,7   
RUNNING,27 ,20.9719143,27             ,2017-05-14T20:35:40,52.272728,True,2   
RUNNING,14 ,20.9819965,14             ,2017-05-14T20:35:41,52.2098618,True,5   
RUNNING,13 ,20.9788628,13             ,2017-05-14T20:35:37,52.2364655,True,1   
RUNNING,14 ,21.0228519,14             ,2017-05-14T20:35:37,52.1811447,True,2   
RUNNING,13 ,21.0533714,13             ,2017-05-14T20:35:37,52.2552834,True,2   
RUNNING,6  ,20.9286423,6              ,2017-05-14T20:35:40,52.2920761,True,1   
RUNNING,20 ,21.0019684,20             ,2017-05-14T20:35:40,52.290329,True,3   
