Status,FirstLine,Lon,Lines,Time,Lat,LowFloor,Brigade
RUNNING,24 ,20.9819431,24             ,2017-05-21T02:15:29,52.2338257,True,1   
RUNNING,24 ,20.9235191,24             ,2017-05-21T02:15:27,52.2600212,True,10  
RUNNING,24 ,21.0364075,24             ,2017-05-21T02:15:27,52.2350311,True,2   
RUNNING,4  ,21.0307388,4              ,2017-05-21T02:15:28,52.2879868,True,064 
RUNNING,24 ,20.9174042,24             ,2017-05-21T02:15:29,52.2503624,True,9   
RUNNING,26 ,21.0343018,26             ,2017-05-21T02:15:27,52.2545013,True,1   
RUNNING,4  ,21.0241852,4              ,2017-05-21T02:15:27,52.1849632,True,9   
RUNNING,33 ,20.9836731,33             ,2017-05-21T02:15:28,52.2533646,True,13  
RUNNING,26 ,20.9570866,26             ,2017-05-21T02:15:28,52.2313881,True,5   
RUNNING,26 ,20.9132538,26             ,2017-05-21T02:15:29,52.2387772,True,4   
RUNNING,4  ,21.0197182,4              ,2017-05-21T02:15:27,52.2169571,True,10  
RUNNING,33 ,21.0062637,33             ,2017-05-21T02:15:25,52.2131119,True,1   
RUNNING,33 ,20.9410858,33             ,2017-05-21T02:15:25,52.2732887,True,12  
RUNNING,33 ,21.0026226,33             ,2017-05-21T02:15:28,52.2068481,True,14  
RUNNING,2  ,20.9518623,2              ,2017-05-21T02:15:30,52.318943,True,3   
RUNNING,2  ,20.9417686,2              ,2017-05-21T02:15:29,52.3328743,True,2   
RUNNING,2  ,20.9470978,2              ,2017-05-21T02:15:28,52.3048286,True,5   
RUNNING,26 ,21.0437908,26             ,2017-05-21T02:15:28,52.2491112,True,8   
RUNNING,26 ,20.9167728,26             ,2017-05-21T02:15:29,52.2209396,True,3   
RUNNING,26 ,20.9535828,26             ,2017-05-21T02:15:28,52.2302933,True,2   
RUNNING,26 ,21.0814037,26             ,2017-05-21T02:15:25,52.2455139,True,9   
RUNNING,24 ,21.0860195,24             ,2017-05-21T02:18:29,52.2452202,False,032 
RUNNING,24 ,21.1009083,24             ,2017-05-21T02:18:29,52.2428017,True,3   
RUNNING,24 ,21.1192722,24             ,2017-05-21T02:18:26,52.2382507,True,033 
RUNNING,24 ,21.0377312,24             ,2017-05-21T02:18:27,52.2352524,True,7   
RUNNING,26 ,20.9150295,26             ,2017-05-21T02:18:26,52.2301712,True,032 
RUNNING,33 ,20.9379444,33             ,2017-05-21T02:18:26,52.2755814,True,5   
RUNNING,24 ,20.9732056,24             ,2017-05-21T02:18:28,52.2351418,True,1   
RUNNING,24 ,20.9249191,24             ,2017-05-21T02:18:25,52.2601471,True,10  
RUNNING,24 ,21.0214996,24             ,2017-05-21T02:18:27,52.2319679,True,2   
RUNNING,4  ,21.0231495,4              ,2017-05-21T02:18:27,52.2985306,True,064 
RUNNING,24 ,20.9384632,24             ,2017-05-21T02:18:17,52.2466927,True,9   
RUNNING,26 ,21.0419426,26             ,2017-05-21T02:18:25,52.2497559,True,1   
RUNNING,4  ,21.0221806,4              ,2017-05-21T02:18:25,52.1896858,True,9   
RUNNING,33 ,20.9778004,33             ,2017-05-21T02:18:27,52.2626572,True,13  
RUNNING,26 ,20.941988,26             ,2017-05-21T02:18:26,52.2266312,True,5   
RUNNING,26 ,20.9046669,26             ,2017-05-21T02:18:27,52.2390671,True,4   
RUNNING,4  ,21.0205803,4              ,2017-05-21T02:18:27,52.2119217,True,10  
RUNNING,33 ,21.0036373,33             ,2017-05-21T02:18:27,52.2068138,True,1   
RUNNING,33 ,20.9284363,33             ,2017-05-21T02:18:28,52.2802124,True,12  
RUNNING,33 ,21.0050182,33             ,2017-05-21T02:18:27,52.2200966,True,14  
RUNNING,2  ,20.9661255,2              ,2017-05-21T02:18:30,52.3133469,True,3   
RUNNING,2  ,20.9417305,2              ,2017-05-21T02:18:28,52.3328629,True,2   
RUNNING,2  ,20.9672241,2              ,2017-05-21T02:18:28,52.3153534,True,5   
RUNNING,26 ,21.0357037,26             ,2017-05-21T02:18:28,52.2538719,True,8   
RUNNING,26 ,20.9295464,26             ,2017-05-21T02:18:25,52.2234879,True,3   
RUNNING,26 ,20.9662094,26             ,2017-05-21T02:18:28,52.2335892,True,2   
RUNNING,26 ,21.0673351,26             ,2017-05-21T02:18:27,52.2463379,True,9   
RUNNING,24 ,21.0705662,24             ,2017-05-21T02:21:29,52.2420387,False,032 
RUNNING,24 ,21.0905304,24             ,2017-05-21T02:21:29,52.2449532,True,3   
RUNNING,24 ,21.1189308,24             ,2017-05-21T02:21:26,52.2382088,True,033 
RUNNING,24 ,21.0509186,24             ,2017-05-21T02:21:25,52.2394562,True,7   
RUNNING,26 ,20.9224739,26             ,2017-05-21T02:21:27,52.2218437,True,032 
RUNNING,33 ,20.952425,33             ,2017-05-21T02:21:24,52.2696152,True,5   
RUNNING,24 ,20.9660435,24             ,2017-05-21T02:21:25,52.2444229,True,1   
RUNNING,24 ,20.9211502,24             ,2017-05-21T02:21:24,52.2581635,True,10  
RUNNING,24 ,21.016798,24             ,2017-05-21T02:21:30,52.2309608,True,2   
RUNNING,4  ,21.02215,4              ,2017-05-21T02:21:26,52.2986031,True,064 
RUNNING,24 ,20.9472237,24             ,2017-05-21T02:21:26,52.2470169,True,9   
RUNNING,26 ,21.0510693,26             ,2017-05-21T02:21:29,52.2473907,True,1   
RUNNING,4  ,21.0076885,4              ,2017-05-21T02:21:30,52.1888733,True,9   
RUNNING,33 ,20.9609108,33             ,2017-05-21T02:21:26,52.267334,True,13  
RUNNING,26 ,20.9309788,26             ,2017-05-21T02:21:25,52.2238579,True,5   
RUNNING,26 ,20.9009953,26             ,2017-05-21T02:21:26,52.2386971,True,4   
RUNNING,4  ,21.0230923,4              ,2017-05-21T02:21:29,52.2045288,True,10  
RUNNING,33 ,21.0011482,33             ,2017-05-21T02:21:26,52.1990967,True,1   
RUNNING,33 ,20.9269371,33             ,2017-05-21T02:21:27,52.288044,True,12  
RUNNING,33 ,21.0021801,33             ,2017-05-21T02:21:25,52.2274361,True,14  
RUNNING,2  ,20.942522,2              ,2017-05-21T02:21:30,52.3030586,True,3   
RUNNING,2  ,20.9417305,2              ,2017-05-21T02:21:29,52.3328629,True,2   
RUNNING,2  ,20.9457664,2              ,2017-05-21T02:21:28,52.3219604,True,5   
RUNNING,26 ,21.0298462,26             ,2017-05-21T02:21:29,52.2526627,True,8   
RUNNING,26 ,20.9494915,26             ,2017-05-21T02:21:29,52.2289848,True,3   
RUNNING,26 ,20.9688206,26             ,2017-05-21T02:21:27,52.2319565,True,2   
RUNNING,26 ,21.0470428,26             ,2017-05-21T02:21:25,52.2479362,True,9   
RUNNING,24 ,21.0501442,24             ,2017-05-21T02:24:28,52.2378273,False,032 
RUNNING,24 ,21.0791264,24             ,2017-05-21T02:24:29,52.2456436,True,3   
RUNNING,24 ,21.1188335,24             ,2017-05-21T02:24:26,52.2382622,True,033 
RUNNING,24 ,21.0443478,24             ,2017-05-21T02:24:25,52.248909,True,7   
RUNNING,26 ,20.9422989,26             ,2017-05-21T02:24:29,52.2266312,True,032 
RUNNING,33 ,20.9630623,33             ,2017-05-21T02:24:27,52.2666817,True,5   
RUNNING,24 ,20.9535294,24             ,2017-05-21T02:24:29,52.2473488,True,1   
RUNNING,24 ,20.916544,24             ,2017-05-21T02:24:27,52.250782,True,10  
RUNNING,24 ,21.0087433,24             ,2017-05-21T02:24:27,52.229248,True,2   
RUNNING,4  ,21.0228138,4              ,2017-05-21T02:24:28,52.2984886,True,064 
RUNNING,24 ,20.9642296,24             ,2017-05-21T02:24:29,52.245327,True,9   
RUNNING,26 ,21.0696697,26             ,2017-05-21T02:24:26,52.2461815,True,1   
RUNNING,4  ,21.00033,4              ,2017-05-21T02:24:27,52.1885414,True,9   
RUNNING,33 ,20.9504395,33             ,2017-05-21T02:24:28,52.2702217,True,13  
RUNNING,26 ,20.9170246,26             ,2017-05-21T02:24:28,52.2232437,True,5   
RUNNING,26 ,20.9009953,26             ,2017-05-21T02:24:28,52.2386971,True,4   
RUNNING,4  ,21.0243778,4              ,2017-05-21T02:24:27,52.1938362,True,10  
RUNNING,33 ,21.0034142,33             ,2017-05-21T02:24:26,52.1887589,True,1   
RUNNING,33 ,20.9984684,33             ,2017-05-21T02:24:28,52.2330093,True,14  
RUNNING,2  ,20.9311428,2              ,2017-05-21T02:24:26,52.2941055,True,3   
RUNNING,2  ,20.9417763,2              ,2017-05-21T02:24:29,52.3328781,True,2   
RUNNING,2  ,20.9416332,2              ,2017-05-21T02:24:28,52.3318634,True,5   
RUNNING,26 ,21.0140743,26             ,2017-05-21T02:24:28,52.2467346,True,8   
RUNNING,26 ,20.9627743,26             ,2017-05-21T02:24:29,52.2330017,True,3   
RUNNING,26 ,21.0406113,26             ,2017-05-21T02:24:25,52.2505035,True,9   
RUNNING,24 ,21.0344677,24             ,2017-05-21T02:27:40,52.2345924,False,032 
RUNNING,24 ,20.9249763,24             ,2017-05-21T02:27:43,52.2601471,False,031 
RUNNING,24 ,21.0597267,24             ,2017-05-21T02:27:44,52.2468414,True,3   
RUNNING,24 ,21.1063461,24             ,2017-05-21T02:27:41,52.2416153,True,033 
RUNNING,24 ,21.0508652,24             ,2017-05-21T02:27:39,52.2530518,True,7   
RUNNING,26 ,20.9605312,26             ,2017-05-21T02:27:41,52.2323723,True,032 
RUNNING,33 ,20.9802837,33             ,2017-05-21T02:27:41,52.2615967,True,5   
RUNNING,24 ,20.9361191,24             ,2017-05-21T02:27:32,52.2468185,True,1   
RUNNING,24 ,20.9342117,24             ,2017-05-21T02:27:41,52.2468567,True,10  
RUNNING,24 ,20.9962177,24             ,2017-05-21T02:27:44,52.2266045,True,2   
RUNNING,4  ,21.0307293,4              ,2017-05-21T02:27:42,52.2881775,True,064 
RUNNING,24 ,20.9724407,24             ,2017-05-21T02:27:43,52.2359314,True,9   
RUNNING,26 ,21.0836983,26             ,2017-05-21T02:27:40,52.2453194,True,1   
RUNNING,4  ,21.0007572,4              ,2017-05-21T02:27:41,52.1865654,True,9   
RUNNING,33 ,20.9382668,33             ,2017-05-21T02:27:42,52.2754135,True,13  
RUNNING,26 ,20.9142628,26             ,2017-05-21T02:27:42,52.2358551,True,5   
RUNNING,26 ,20.9013882,26             ,2017-05-21T02:27:43,52.2388153,True,4   
RUNNING,4  ,21.0182247,4              ,2017-05-21T02:27:41,52.1891403,True,10  
RUNNING,33 ,21.0007343,33             ,2017-05-21T02:27:40,52.1888008,True,1   
RUNNING,33 ,20.9958916,33             ,2017-05-21T02:27:37,52.2391701,True,14  
